Group,Table,Name,Description,Units,Module,ModuleUnits,Scenario,File,InputDir,DisplayUnits,DisplayUnitsFile,DBTable
Global,Bzone,Bzone,,"",visioneval,"",SayedMM,"","","",None,Bzone_SayedMM_Global.csv
Global,Bzone,Azone,,"",visioneval,"",SayedMM,"","","",None,Bzone_SayedMM_Global.csv
Global,Bzone,Marea,,"",visioneval,"",SayedMM,"","","",None,Bzone_SayedMM_Global.csv
Global,Bzone,Global,Global group indicator,"","","",SayedMM,"","","","",Bzone_SayedMM_Global.csv
Global,Bzone,Year,Year group indicator,"","","",SayedMM,"","","","",Bzone_SayedMM_Global.csv
Global,Bzone,Scenario,Scenario group indicator,"","","",SayedMM,"","","","",Bzone_SayedMM_Global.csv
Global,Azone,Azone,,"",visioneval,"",SayedMM,"","","",None,Azone_SayedMM_Global.csv
Global,Azone,Marea,,"",visioneval,"",SayedMM,"","","",None,Azone_SayedMM_Global.csv
Global,Azone,Global,Global group indicator,"","","",SayedMM,"","","","",Azone_SayedMM_Global.csv
Global,Azone,Year,Year group indicator,"","","",SayedMM,"","","","",Azone_SayedMM_Global.csv
Global,Azone,Scenario,Scenario group indicator,"","","",SayedMM,"","","","",Azone_SayedMM_Global.csv
Global,Marea,Marea,,"",visioneval,"",SayedMM,"","","",None,Marea_SayedMM_Global.csv
Global,Marea,UzaNameLookup,Name(s) of urbanized area(s) in default tables corresponding to the Marea(s). This may be omitted if values are provided for both UrbanLdvDvmt and UrbanHvyTrkDvmt. The name(s) must be consistent with names in the urbanized area names in the default data. See module documentation for a listing.,ID,InitializeVETravelPerformance,ID,SayedMM,marea_base_year_dvmt.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,ID,None,Marea_SayedMM_Global.csv
Global,Marea,UrbanLdvDvmt,Average daily vehicle miles of travel on roadways in the urbanized portion of the Marea by light-duty vehicles during the base year. This value may be omitted if a value for UzaNameLookup is provided so that a value may be computed from the urbanized area per capita rate tabulated by the LoadDefaultRoadDvmtValues.R script and the base year urban population.,MI/DAY,InitializeVETravelPerformance,MI/DAY,SayedMM,marea_base_year_dvmt.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,MI/DAY,None,Marea_SayedMM_Global.csv
Global,Marea,UrbanHvyTrkDvmt,Average daily vehicle miles of travel on roadways in the urbanized portion of the Marea by heavy trucks during he base year. This value may be omitted if a value for UzaNameLookup is provided so that a value may be computed from the urbanized area per capita rate tabulated by the LoadDefaultRoadDvmtValues.R script and the base year urban population.,MI/DAY,InitializeVETravelPerformance,MI/DAY,SayedMM,marea_base_year_dvmt.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,MI/DAY,None,Marea_SayedMM_Global.csv
Global,Marea,LdvFwyDvmtProp,Proportion of light-duty daily vehicle miles of travel in the urbanized portion of the Marea occurring on freeways,proportion,InitializeVETravelPerformance,proportion,SayedMM,marea_dvmt_split_by_road_class.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Marea_SayedMM_Global.csv
Global,Marea,LdvArtDvmtProp,Proportion of light-duty daily vehicle miles of travel in the urbanized portion of the Marea occurring on arterial roadways,proportion,InitializeVETravelPerformance,proportion,SayedMM,marea_dvmt_split_by_road_class.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Marea_SayedMM_Global.csv
Global,Marea,LdvOthDvmtProp,Proportion of light-duty daily vehicle miles of travel in the urbanized portion of the Marea occurring on other roadways,proportion,InitializeVETravelPerformance,proportion,SayedMM,marea_dvmt_split_by_road_class.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Marea_SayedMM_Global.csv
Global,Marea,HvyTrkFwyDvmtProp,Proportion of heavy truck daily vehicle miles of travel in the urbanized portion of the Marea occurring on freeways,proportion,InitializeVETravelPerformance,proportion,SayedMM,marea_dvmt_split_by_road_class.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Marea_SayedMM_Global.csv
Global,Marea,HvyTrkArtDvmtProp,Proportion of heavy truck daily vehicle miles of travel in the urbanized portion of the Marea occurring on arterial roadways,proportion,InitializeVETravelPerformance,proportion,SayedMM,marea_dvmt_split_by_road_class.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Marea_SayedMM_Global.csv
Global,Marea,HvyTrkOthDvmtProp,Proportion of heavy truck daily vehicle miles of travel in the urbanized portion of the Marea occurring on other roadways,proportion,InitializeVETravelPerformance,proportion,SayedMM,marea_dvmt_split_by_road_class.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Marea_SayedMM_Global.csv
Global,Marea,BusFwyDvmtProp,Proportion of bus daily vehicle miles of travel in the urbanized portion of the Marea occurring on freeways,proportion,InitializeVETravelPerformance,proportion,SayedMM,marea_dvmt_split_by_road_class.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Marea_SayedMM_Global.csv
Global,Marea,BusArtDvmtProp,Proportion of bus daily vehicle miles of travel in the urbanized portion of the Marea occurring on arterial roadways,proportion,InitializeVETravelPerformance,proportion,SayedMM,marea_dvmt_split_by_road_class.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Marea_SayedMM_Global.csv
Global,Marea,BusOthDvmtProp,Proportion of bus daily vehicle miles of travel in the urbanized portion of the Marea occuring on other roadways,proportion,InitializeVETravelPerformance,proportion,SayedMM,marea_dvmt_split_by_road_class.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Marea_SayedMM_Global.csv
Global,Marea,ComSvcDvmtHhDvmtFactor,Ratio of Marea base year commercial service DVMT to household DVMT,proportion,CalculateRoadDvmt,proportion,SayedMM,"","",proportion,None,Marea_SayedMM_Global.csv
Global,Marea,ComSvcDvmtIncomeFactor,Ratio of base year commercial service vehicle DVMT to household income,MI/USD,CalculateRoadDvmt,MI/USD,SayedMM,"","",MI/USD,None,Marea_SayedMM_Global.csv
Global,Marea,HvyTrkDvmtIncomeFactor,Ratio of base year heavy truck DVMT to household income,MI/USD,CalculateRoadDvmt,MI/USD,SayedMM,"","",MI/USD,None,Marea_SayedMM_Global.csv
Global,Marea,ComSvcDvmtPopulationFactor,Ratio of base year commercial service vehicle DVMT to population,MI/PRSN,CalculateRoadDvmt,MI/PRSN,SayedMM,"","",MI/PRSN,None,Marea_SayedMM_Global.csv
Global,Marea,HvyTrkDvmtPopulationFactor,Ratio of base year heavy truck DVMT to population,MI/PRSN,CalculateRoadDvmt,MI/PRSN,SayedMM,"","",MI/PRSN,None,Marea_SayedMM_Global.csv
Global,Marea,LdvUrbanRoadProp,The proportion of the DVMT of households residing in the marea and associated commercial service DVMT that occurs on urbanized area roadways in the marea,proportion,CalculateRoadDvmt,proportion,SayedMM,"","",proportion,None,Marea_SayedMM_Global.csv
Global,Marea,LambdaAdj,Constant to adjust the modeled lambda parameter to match base year freeway and arterial LDV proportions,constant,CalculateRoadPerformance,constant,SayedMM,"","",constant,None,Marea_SayedMM_Global.csv
Global,Marea,Global,Global group indicator,"","","",SayedMM,"","","","",Marea_SayedMM_Global.csv
Global,Marea,Year,Year group indicator,"","","",SayedMM,"","","","",Marea_SayedMM_Global.csv
Global,Marea,Scenario,Scenario group indicator,"","","",SayedMM,"","","","",Marea_SayedMM_Global.csv
Global,Model,ValueOfTime,,base cost year dollars per hour,VERSPM,base cost year dollars per hour,SayedMM,"","",base cost year dollars per hour,None,Model_SayedMM_Global.csv
Global,Model,Global,Global group indicator,"","","",SayedMM,"","","","",Model_SayedMM_Global.csv
Global,Model,Year,Year group indicator,"","","",SayedMM,"","","","",Model_SayedMM_Global.csv
Global,Model,Scenario,Scenario group indicator,"","","",SayedMM,"","","","",Model_SayedMM_Global.csv
Global,Region,StateAbbrLookup,"Postal code abbreviation of the 50 states, the District of Columbia (DC), or Puerto Rico (PR) where the region is located. It is recommended that the value be blank if the model is not a state model (i.e. is a model for a metropolitan area). See the module documentation for details.",ID,InitializeVETravelPerformance,ID,SayedMM,region_base_year_dvmt.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,ID,None,Region_SayedMM_Global.csv
Global,Region,HvyTrkDvmtGrowthBasis,Factor used to grow heavy truck DVMT from base year value,ID,InitializeVETravelPerformance,ID,SayedMM,region_base_year_dvmt.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,ID,None,Region_SayedMM_Global.csv
Global,Region,HvyTrkDvmt,"Average daily vehicle miles of travel on roadways in the region by heavy trucks during the base year. The value for this input may be NA instead of number. In that case, if a state abbreviation is provided, the base year value is calculated from the state per capita rate tabulated by the LoadDefaultRoadDvmtValues.R script and the base year population. If the state abbreviation is NA (as for a metropolitan model) the base year value is calculated from metropolitan area per capita rates and metropolitan area population.",MI/DAY,InitializeVETravelPerformance,MI/DAY,SayedMM,region_base_year_dvmt.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,MI/DAY,None,Region_SayedMM_Global.csv
Global,Region,ComSvcDvmtGrowthBasis,Factor used to grow commercial service vehicle DVMT in Marea from base year value,ID,InitializeVETravelPerformance,ID,SayedMM,region_base_year_dvmt.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,ID,None,Region_SayedMM_Global.csv
Global,Region,HvyTrkDvmtIncomeFactor,Ratio of Region base year heavy truck DVMT to household income,MI/USD,CalculateRoadDvmt,MI/USD,SayedMM,"","",MI/USD,None,Region_SayedMM_Global.csv
Global,Region,HvyTrkDvmtPopulationFactor,Ratio of Region base year heavy truck DVMT to population,MI/PRSN,CalculateRoadDvmt,MI/PRSN,SayedMM,"","",MI/PRSN,None,Region_SayedMM_Global.csv
Global,Region,Global,Global group indicator,"","","",SayedMM,"","","","",Region_SayedMM_Global.csv
Global,Region,Year,Year group indicator,"","","",SayedMM,"","","","",Region_SayedMM_Global.csv
Global,Region,Scenario,Scenario group indicator,"","","",SayedMM,"","","","",Region_SayedMM_Global.csv
Global,OtherOpsEffectiveness,Level,"Congestion levels: None = none, Mod = moderate, Hvy = heavy, Sev = severe, Ext = extreme",category,InitializeVETravelPerformance,category,SayedMM,other_ops_effectiveness.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,category,None,OtherOpsEffectiveness_SayedMM_Global.csv
Global,OtherOpsEffectiveness,Art_Rcr,Percentage reduction of recurring arterial delay that would occur with full deployment of other user-defined arterial operations measures,percentage,InitializeVETravelPerformance,percentage,SayedMM,other_ops_effectiveness.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,percentage,None,OtherOpsEffectiveness_SayedMM_Global.csv
Global,OtherOpsEffectiveness,Art_NonRcr,Percentage reduction of non-recurring arterial delay that would occur with full deployment of other user-defined arterial operations measures,percentage,InitializeVETravelPerformance,percentage,SayedMM,other_ops_effectiveness.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,percentage,None,OtherOpsEffectiveness_SayedMM_Global.csv
Global,OtherOpsEffectiveness,Fwy_Rcr,Percentage reduction of recurring freeway delay that would occur with full deployment of other user-defined freeway operations measures,percentage,InitializeVETravelPerformance,percentage,SayedMM,other_ops_effectiveness.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,percentage,None,OtherOpsEffectiveness_SayedMM_Global.csv
Global,OtherOpsEffectiveness,Fwy_NonRcr,Percentage reduction of non-recurring freeway delay that would occur with full deployment of other user-defined freeway operations measures,percentage,InitializeVETravelPerformance,percentage,SayedMM,other_ops_effectiveness.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,percentage,None,OtherOpsEffectiveness_SayedMM_Global.csv
Global,OtherOpsEffectiveness,Global,Global group indicator,"","","",SayedMM,"","","","",OtherOpsEffectiveness_SayedMM_Global.csv
Global,OtherOpsEffectiveness,Year,Year group indicator,"","","",SayedMM,"","","","",OtherOpsEffectiveness_SayedMM_Global.csv
Global,OtherOpsEffectiveness,Scenario,Scenario group indicator,"","","",SayedMM,"","","","",OtherOpsEffectiveness_SayedMM_Global.csv
2019,Bzone,Bzone,,"",visioneval,"",SayedMM,"","","",None,Bzone_SayedMM_2019.csv
2019,Bzone,Azone,,"",visioneval,"",SayedMM,"","","",None,Bzone_SayedMM_2019.csv
2019,Bzone,Marea,,"",visioneval,"",SayedMM,"","","",None,Bzone_SayedMM_2019.csv
2019,Bzone,SFDU,Number of single family dwelling units (PUMS codes 01 - 03) in zone,DU,PredictHousing,DU,SayedMM,bzone_dwelling_units.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,DU,None,Bzone_SayedMM_2019.csv
2019,Bzone,MFDU,Number of multi-family dwelling units (PUMS codes 04 - 09) in zone,DU,PredictHousing,DU,SayedMM,bzone_dwelling_units.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,DU,None,Bzone_SayedMM_2019.csv
2019,Bzone,GQDU,Number of qroup quarters population accommodations in zone,DU,PredictHousing,DU,SayedMM,bzone_dwelling_units.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,DU,None,Bzone_SayedMM_2019.csv
2019,Bzone,HhPropIncQ1,Proportion of Bzone households (non-group quarters) in 1st quartile of Azone household income,NA,PredictHousing,NA,SayedMM,bzone_hh_inc_qrtl_prop.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,HhPropIncQ2,Proportion of Bzone households (non-group quarters) in 2nd quartile of Azone household income,NA,PredictHousing,NA,SayedMM,bzone_hh_inc_qrtl_prop.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,HhPropIncQ3,Proportion of Bzone households (non-group quarters) in 3rd quartile of Azone household income,NA,PredictHousing,NA,SayedMM,bzone_hh_inc_qrtl_prop.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,HhPropIncQ4,Proportion of Bzone households (non-group quarters) in 4th quartile of Azone household income,NA,PredictHousing,NA,SayedMM,bzone_hh_inc_qrtl_prop.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,TotEmp,Total number of jobs in zone,PRSN,LocateEmployment,PRSN,SayedMM,bzone_employment.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,PRSN,None,Bzone_SayedMM_2019.csv
2019,Bzone,RetEmp,Number of jobs in retail sector in zone,PRSN,LocateEmployment,PRSN,SayedMM,bzone_employment.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,PRSN,None,Bzone_SayedMM_2019.csv
2019,Bzone,SvcEmp,Number of jobs in service sector in zone,PRSN,LocateEmployment,PRSN,SayedMM,bzone_employment.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,PRSN,None,Bzone_SayedMM_2019.csv
2019,Bzone,Latitude,Latitude in decimal degrees of the centroid of the zone,NA,LocateEmployment,NA,SayedMM,bzone_lat_lon.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,Longitude,Longitude in decimal degrees of the centroid of the zone,NA,LocateEmployment,NA,SayedMM,bzone_lat_lon.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,PropUrbanSFDU,Proportion of single family dwelling units located within the urban portion of the zone,NA,AssignLocTypes,NA,SayedMM,bzone_urban-town_du_proportions.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,PropUrbanMFDU,Proportion of multi-family dwelling units located within the urban portion of the zone,NA,AssignLocTypes,NA,SayedMM,bzone_urban-town_du_proportions.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,PropUrbanGQDU,Proportion of group quarters accommodations located within the urban portion of the zone,NA,AssignLocTypes,NA,SayedMM,bzone_urban-town_du_proportions.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,PropTownSFDU,Proportion of single family dwelling units located within the town portion of the zone,NA,AssignLocTypes,NA,SayedMM,bzone_urban-town_du_proportions.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,PropTownMFDU,Proportion of multi-family dwelling units located within the town portion of the zone,NA,AssignLocTypes,NA,SayedMM,bzone_urban-town_du_proportions.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,PropTownGQDU,Proportion of group quarters accommodations located within the town portion of the zone,NA,AssignLocTypes,NA,SayedMM,bzone_urban-town_du_proportions.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,UrbanArea,Area that is Urban and unprotected (i.e. developable) within the zone,SQMI,Calculate4DMeasures,SQMI,SayedMM,bzone_unprotected_area.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,SQMI,None,Bzone_SayedMM_2019.csv
2019,Bzone,TownArea,Area that is Town and unprotected (i.e. developable) within the zone,SQMI,Calculate4DMeasures,SQMI,SayedMM,bzone_unprotected_area.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,SQMI,None,Bzone_SayedMM_2019.csv
2019,Bzone,RuralArea,Area that is Rural and unprotected (i.e. developable) within the zone,SQMI,Calculate4DMeasures,SQMI,SayedMM,bzone_unprotected_area.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,SQMI,None,Bzone_SayedMM_2019.csv
2019,Bzone,D3bpo4,Intersection density in terms of pedestrian-oriented intersections having four or more legs per square mile (Ref: EPA 2010 Smart Location Database),pedestrian-oriented intersections per square mile,Calculate4DMeasures,pedestrian-oriented intersections per square mile,SayedMM,bzone_network_design.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,pedestrian-oriented intersections per square mile,None,Bzone_SayedMM_2019.csv
2019,Bzone,MixUseProp,Target for proportion of households located in mixed-use neighborhoods in zone (or NA if no target),proportion,CalculateUrbanMixMeasure,proportion,SayedMM,bzone_urban-mixed-use_prop.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Bzone_SayedMM_2019.csv
2019,Bzone,PkgSpacesPerSFDU,Average number of free parking spaces available to residents of single-family dwelling units,parking spaces,AssignParkingRestrictions,parking spaces,SayedMM,bzone_parking.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,parking spaces,None,Bzone_SayedMM_2019.csv
2019,Bzone,PkgSpacesPerMFDU,Average number of free parking spaces available to residents of multifamily dwelling units,parking spaces,AssignParkingRestrictions,parking spaces,SayedMM,bzone_parking.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,parking spaces,None,Bzone_SayedMM_2019.csv
2019,Bzone,PkgSpacesPerGQ,Average number of free parking spaces available to group quarters residents,parking spaces,AssignParkingRestrictions,parking spaces,SayedMM,bzone_parking.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,parking spaces,None,Bzone_SayedMM_2019.csv
2019,Bzone,PropWkrPay,Proportion of workers who pay for parking,proportion,AssignParkingRestrictions,proportion,SayedMM,bzone_parking.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Bzone_SayedMM_2019.csv
2019,Bzone,PropCashOut,Proportions of workers paying for parking in a cash-out-buy-back program,proportion,AssignParkingRestrictions,proportion,SayedMM,bzone_parking.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Bzone_SayedMM_2019.csv
2019,Bzone,PropNonWrkTripPay,Proportion of non-work trips who pay for parking,proportion,AssignParkingRestrictions,proportion,SayedMM,bzone_parking.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Bzone_SayedMM_2019.csv
2019,Bzone,PkgCost,Average daily cost for long-term parking (e.g. paid on monthly basis),USD,AssignParkingRestrictions,USD,SayedMM,bzone_parking.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,USD,None,Bzone_SayedMM_2019.csv
2019,Bzone,EcoProp,Proportion of workers working in Bzone who participate in strong employee commute options program,proportion,AssignDemandManagement,proportion,SayedMM,bzone_travel_demand_mgt.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Bzone_SayedMM_2019.csv
2019,Bzone,ImpProp,Proportion of households residing in Bzone who participate in strong individualized marketing program,proportion,AssignDemandManagement,proportion,SayedMM,bzone_travel_demand_mgt.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,proportion,None,Bzone_SayedMM_2019.csv
2019,Bzone,CarSvcLevel,Level of car service availability. High means access is competitive with household owned car. Low is not competitive.,category,AssignCarSvcAvailability,category,SayedMM,bzone_carsvc_availability.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,category,None,Bzone_SayedMM_2019.csv
2019,Bzone,D4c,Aggregate frequency of transit service within 0.25 miles of block group boundary per hour during evening peak period (Ref: EPA 2010 Smart Location Database),aggregate peak period transit service,AssignTransitService,aggregate peak period transit service,SayedMM,bzone_transit_service.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,aggregate peak period transit service,None,Bzone_SayedMM_2019.csv
2019,Bzone,SF,Number of households living in single family dwelling units in zone,DU,PredictHousing,DU,SayedMM,"","",DU,None,Bzone_SayedMM_2019.csv
2019,Bzone,MF,Number of households living in multi-family dwelling units in zone,DU,PredictHousing,DU,SayedMM,"","",DU,None,Bzone_SayedMM_2019.csv
2019,Bzone,GQ,Number of persons living in group quarters in zone,DU,PredictHousing,DU,SayedMM,"","",DU,None,Bzone_SayedMM_2019.csv
2019,Bzone,Pop,Population residing in zone,PRSN,PredictHousing,PRSN,SayedMM,"","",PRSN,None,Bzone_SayedMM_2019.csv
2019,Bzone,NumHh,Number of households (non-group and group quarters) residing in zone,HH,PredictHousing,HH,SayedMM,"","",HH,None,Bzone_SayedMM_2019.csv
2019,Bzone,NumWkr,Number of workers residing in zone,PRSN,PredictHousing,PRSN,SayedMM,"","",PRSN,None,Bzone_SayedMM_2019.csv
2019,Bzone,UrbanPop,Urbanized area population in the Bzone,PRSN,AssignLocTypes,PRSN,SayedMM,"","",PRSN,None,Bzone_SayedMM_2019.csv
2019,Bzone,TownPop,Town (i.e. urban but non-urbanized area) population in the Bzone,PRSN,AssignLocTypes,PRSN,SayedMM,"","",PRSN,None,Bzone_SayedMM_2019.csv
2019,Bzone,RuralPop,Rural (i.e. not urbanized and not town) population in the Bzone,PRSN,AssignLocTypes,PRSN,SayedMM,"","",PRSN,None,Bzone_SayedMM_2019.csv
2019,Bzone,D1B,Gross population density (people/acre) on unprotected (i.e. developable) land in zone (Ref: EPA 2010 Smart Location Database),PRSN/SQMI,Calculate4DMeasures,PRSN/ACRE,SayedMM,"","",PRSN/ACRE,None,Bzone_SayedMM_2019.csv
2019,Bzone,D1C,Gross employment density (jobs/acre) on unprotected land (i.e. developable) land in zone (Ref: EPA 2010 Smart Location Database),JOB/SQMI,Calculate4DMeasures,JOB/ACRE,SayedMM,"","",JOB/ACRE,None,Bzone_SayedMM_2019.csv
2019,Bzone,D1D,Gross activity density (employment + households) on unprotected land in zone (Ref: EPA 2010 Smart Location Database),HHJOB/SQMI,Calculate4DMeasures,HHJOB/ACRE,SayedMM,"","",HHJOB/ACRE,None,Bzone_SayedMM_2019.csv
2019,Bzone,D2A_JPHH,Ratio of jobs to households in zone (Ref: EPA 2010 Smart Location Database),JOB/HH,Calculate4DMeasures,JOB/HH,SayedMM,"","",JOB/HH,None,Bzone_SayedMM_2019.csv
2019,Bzone,D2A_WRKEMP,Ratio of workers to jobs in zone (Ref: EPA 2010 Smart Location Database),PRSN/JOB,Calculate4DMeasures,PRSN/JOB,SayedMM,"","",PRSN/JOB,None,Bzone_SayedMM_2019.csv
2019,Bzone,D2A_EPHHM,"Employment and household entropy measure for zone considering numbers of households, retail jobs, service jobs, and other jobs (Ref: EPA 2010 Smart Location Database)",employment & household entropy,Calculate4DMeasures,employment & household entropy,SayedMM,"","",employment & household entropy,None,Bzone_SayedMM_2019.csv
2019,Bzone,D5,Destination accessibility of zone calculated as harmonic mean of jobs within 2 miles and population within 5 miles,NA,Calculate4DMeasures,NA,SayedMM,"","",NA,None,Bzone_SayedMM_2019.csv
2019,Bzone,Global,Global group indicator,"","","",SayedMM,"","","","",Bzone_SayedMM_2019.csv
2019,Bzone,Year,Year group indicator,"","","",SayedMM,"","","","",Bzone_SayedMM_2019.csv
2019,Bzone,Scenario,Scenario group indicator,"","","",SayedMM,"","","","",Bzone_SayedMM_2019.csv
2019,Azone,Azone,,"",visioneval,"",SayedMM,"","","",None,Azone_SayedMM_2019.csv
2019,Azone,Marea,,"",visioneval,"",SayedMM,"","","",None,Azone_SayedMM_2019.csv
2019,Azone,Age0to14,Household (non-group quarters) population in 0 to 14 year old age group,PRSN,CreateHouseholds,PRSN,SayedMM,azone_hh_pop_by_age.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,PRSN,None,Azone_SayedMM_2019.csv
2019,Azone,Age15to19,Household (non-group quarters) population in 15 to 19 year old age group,PRSN,CreateHouseholds,PRSN,SayedMM,azone_hh_pop_by_age.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,PRSN,None,Azone_SayedMM_2019.csv
2019,Azone,Age20to29,Household (non-group quarters) population in 20 to 29 year old age group,PRSN,CreateHouseholds,PRSN,SayedMM,azone_hh_pop_by_age.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,PRSN,None,Azone_SayedMM_2019.csv
2019,Azone,Age30to54,Household (non-group quarters) population in 30 to 54 year old age group,PRSN,CreateHouseholds,PRSN,SayedMM,azone_hh_pop_by_age.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,PRSN,None,Azone_SayedMM_2019.csv
2019,Azone,Age55to64,Household (non-group quarters) population in 55 to 64 year old age group,PRSN,CreateHouseholds,PRSN,SayedMM,azone_hh_pop_by_age.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,PRSN,None,Azone_SayedMM_2019.csv
2019,Azone,Age65Plus,Household (non-group quarters) population in 65 or older age group,PRSN,CreateHouseholds,PRSN,SayedMM,azone_hh_pop_by_age.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,PRSN,None,Azone_SayedMM_2019.csv
2019,Azone,AveHhSize,Average household size of households (non-group quarters),PRSN/HH,CreateHouseholds,PRSN/HH,SayedMM,azone_hhsize_targets.csv,C:/Users/Jameson.Clements/Documents/VE_Models/models/SayedMM/inputs,PRSN/HH,None,Azone_SayedMM_2019.csv
